id,num,ratio
01b155ef3a8d02953dfa7f0657ba82d8,84,1.2923
026b7c9fbf75257da43bc394bc1589ea,51,0.7846
03312dd881b4da8806024cb95489362e,51,0.7846
04856c75e1a4bec9379c445adc1774e8,45,0.6923
04bd297de8b429bd873664092caaad72,54,0.8308
0592b057bf2c0c2247be39c3ceae4aa4,63,0.9692
0713a116df3b01ff73ea071445cd47a4,59,0.9077
0732940f33484defac1204220c96f201,80,1.2308
080431d7ef246b84e5d5d48fb18b2dd0,58,0.8923
08da32374dac0953b078b593f59faed6,39,0.6
0b8dc7661eebafd17f39b10fbcf7365d,10,0.1538
0ca495879bf44cf52cca7edb4f1bd76a,42,0.6462
0d0e1840954b4d00cefadc702989faa2,50,0.7692
0dec31da62d04a465b6c63d892acbb8d,32,0.4923
102a16e3730c4e08fb9d0f38a2daf805,23,0.3538
10e9374744584d88b2434ff84e9341c4,44,0.6769
1362d5f0ddcc2c7be6541f69d5a21462,5,0.0769
158823e521d27676255d0fb46bc607d5,52,0.8
16cecf34efc2198c5f8751e9f72189ef,47,0.7231
186f6ba9e7b9c63799d240a8495727f4,55,0.8462
188deeef3ee201b90e3eac34134a1763,84,1.2923
1933481b6cde1ac4e6e84944c43b4137,45,0.6923
198dd8dcbfb52f152da5dd1b4497e5ba,54,0.8308
1ca5db93cf3719c5e4f7f7ed5b819b27,62,0.9538
1fdeadb82e2a08c8ea7d658462965250,75,1.1538
2014a636b1b9dfa10ec0db265b94a40f,34,0.5231
20489e0e3dd060fee388a72bc6b793ac,22,0.3385
208ca16063a49023651a420e2fac52ac,25,0.3846
21e37e4ddc8c652a5c50cc20a15e4308,35,0.5385
228a6be3a85e9fbd444151a7cd4cf91e,49,0.7538
22cc68ece434e2775333ad2cb86af8c7,82,1.2615
23f5def4ad0bed2d5f1aff96fff0a2ef,32,0.4923
241ec2a3cd91d73ce57071c8745758f2,51,0.7846
25699e9e17086853d51fe54a79d783dd,11,0.1692
26a2805bd2548b5ebe7a2e9aa037d7db,14,0.2154
27a2d83456266273aed4236fcdd4b81f,1,0.0154
28de722f89840223ceff01f5f4a8d15b,44,0.6769
2af3138a8ede5e11768a4dbb9f101921,16,0.2462
2bfafcfea57c4a9f9b8dd599a0c1c79a,48,0.7385
2c3b869af56eba9b92250fee403367ee,34,0.5231
2d330f7b9a42a716280dbc22f6a0f9bc,62,0.9538
2ddb71029075aec302cbcc956b6805ba,63,0.9692
2f0a5c7d895919ac2c88bb1092530ac8,61,0.9385
2f1c8db6d3e51f55dfea6a9b83decd3c,87,1.3385
2f6604289e0f122398d8052e774632b5,32,0.4923
2fb2831fd81ac31eab6230cca8411f41,44,0.6769
3024adfe2a77e89f0e2fda5c2c058389,52,0.8
3083dc448334eca9b4a5c49264f0dfa7,1,0.0154
327c1fe4e5255bc856631a2515d1db11,54,0.8308
3288b4f3eac57be544a015b418462645,56,0.8615
32e3c3f7b3409f2bd8fd0553432ee585,43,0.6615
32ecea3edcc140ee6112fc825398f094,81,1.2462
3359e8a75cdb336ff29859bb76cc44f7,61,0.9385
354d52f94013aff88a30ce95e7092c2f,29,0.4462
35e13a1641cf5a3d44dcb6ecc6d10937,24,0.3692
37bf8f856e5aa0e249b761caa49c6e3e,29,0.4462
3827cc17ede1aaaa5483dff1eb53e0d3,12,0.1846
394335f15424ff4390e2ef9ffc42a776,58,0.8923
3956a3372d4cfa17c8bb717b8e4705fd,50,0.7692
3d3946dada971a0133339e412f18f5f4,4,0.0615
3d679d4e41a231c32ca4737128187121,54,0.8308
3fa89fb23f8bfe256c820a75c20c0f66,33,0.5077
40036fafde817036b0b59abea48020c9,35,0.5385
40d28f45e93a25965e75435dda3b8524,64,0.9846
4108128aaad949065a36a8e8fea971cd,60,0.9231
4153a9c17fda4585f5025e97de367699,53,0.8154
433ad64b232495906785d8edcb622742,76,1.1692
4447878befbe7e8169767d0573e10411,47,0.7231
44fb1d9e57411788abc6d3eaacd3dd09,26,0.4
46345fcbafcd7329777a029caa9a0a42,49,0.7538
